#NODE_DATA_v1.0
#REFS
#ref
#samp_g0_3_h0
#samp_g1_4_h0
#samp_g1_0_h0
#samp_g1_0_h1
#samp_g0_1_h1
#samp_g1_3_h0
#samp_g0_22_h1
#samp_g1_2_h0
#samp_g1_14_h0
#samp_g1_30_h1
#samp_g0_3_h1
#samp_g1_5_h0
#samp_g0_0_h0
#samp_g1_33_h1
#samp_g1_7_h1
#samp_g0_50_h0
#samp_g1_41_h1
#samp_g0_4_h0
#samp_g0_6_h0
#samp_g1_25_h1
#samp_g1_3_h1
#samp_g0_25_h1
#samp_g1_8_h0
#samp_g1_62_h1
#samp_g0_1_h0
#samp_g1_20_h0
#samp_g0_27_h0
#samp_g1_7_h0
#samp_g1_8_h1
#samp_g0_32_h0
#samp_g1_32_h0
#samp_g1_2_h1
#samp_g1_5_h1
#samp_g1_12_h1
#samp_g1_81_h0
#samp_g1_16_h0
#samp_g1_13_h1
#samp_g1_4_h1
#samp_g1_22_h0
#samp_g0_78_h0
#samp_g0_19_h0
#samp_g1_36_h0
#samp_g1_10_h1
#samp_g0_9_h1
#samp_g0_13_h0
#samp_g1_18_h1
#samp_g0_14_h1
#samp_g1_29_h1
#samp_g1_1_h1
#samp_g0_0_h1
#samp_g0_2_h1
#samp_g0_56_h0
#samp_g1_17_h1
#samp_g0_9_h0
#samp_g0_10_h0
#samp_g0_37_h1
#samp_g0_49_h1
#samp_g1_6_h1
#samp_g1_21_h1
#samp_g1_6_h0
#samp_g0_33_h1
#samp_g1_27_h0
#samp_g1_26_h1
#samp_g0_5_h1
#samp_g1_1_h0
#samp_g0_11_h1
#samp_g0_75_h0
#samp_g1_62_h0
#samp_g1_30_h0
#samp_g0_43_h0
#samp_g0_29_h0
#samp_g1_23_h1
#samp_g1_91_h1
#samp_g1_57_h1
#samp_g1_97_h1
#samp_g1_38_h1
#samp_g0_69_h0
#samp_g1_70_h1
#samp_g0_64_h0
#samp_g1_45_h1
#samp_g0_79_h0
#samp_g0_20_h1
#samp_g0_8_h0
#samp_g1_50_h1
#NODES
#NODE	REF_INDEX	POSITION	DEPTH
>1	0	0	0
>2	0	411	1
>3	1	589	2
>4	0	589	2
>5	1	590	1
>6	0	747	2
>7	1	747	2
>8	1	748	1
>9	1	989	0
>10	2	1283	1
>11	1	1283	1
>12	2	1284	0
>13	2	1397	1
>14	2	1545	0
>15	2	1682	1
>16	3	1258	2
>17	2	1836	2
>18	2	1837	1
>19	2	2060	2
>20	1	2060	2
>21	2	2061	1
>22	2	2117	0
>23	1	2340	1
>24	2	2340	1
>25	2	2341	0
>26	2	2485	1
>27	1	2485	1
>28	2	2486	0
>29	2	2655	1
>30	1	2655	1
>31	2	2656	0
>32	4	2133	1
>33	2	2711	1
>34	2	2712	0
>35	2	2824	1
>36	5	2824	1
>37	2	2825	0
>38	2	2960	1
>39	2	3156	2
>40	5	3156	2
>41	2	3157	1
>42	2	3368	0
>43	6	2265	1
>44	2	3426	1
>45	2	3427	0
>46	2	3552	1
>47	6	2391	1
>48	2	3553	0
>49	2	3749	1
>50	2	3829	0
>51	2	4025	1
>52	2	4208	0
>53	7	3663	1
>54	7	3897	0
>55	7	4011	1
>56	1	4503	1
>57	7	4012	0
>58	7	4198	1
>59	1	4690	1
>60	7	4199	0
>61	2	4850	1
>62	7	4358	1
>63	7	4359	0
>64	2	4949	1
>65	7	4457	1
>66	7	4458	0
>67	7	4526	1
>68	8	4440	1
>69	7	4527	0
>70	7	4774	1
>71	1	5266	1
>72	7	4775	0
>73	7	4993	1
>74	2	5485	1
>75	7	4994	0
>76	7	5211	1
>77	7	5332	0
>78	2	5928	1
>79	7	5436	1
>80	7	5437	0
>81	7	5642	1
>82	5	5951	1
>83	7	5643	0
>84	1	6316	1
>85	7	5824	1
>86	7	5825	0
>87	1	6593	1
>88	7	6101	0
>89	7	6188	1
>90	7	6299	2
>91	9	5771	2
>92	7	6300	1
>93	7	6581	2
>94	9	6053	2
>95	7	6582	1
>96	7	6651	2
>97	10	5947	2
>98	10	5948	1
>99	7	6890	2
>100	10	6186	2
>101	10	6187	1
>102	10	6322	0
>103	10	6545	1
>104	11	7156	1
>105	10	6546	0
>106	7	7418	1
